GPT-香港,#genre#
翡翠台,https://4gtv.yq123456.dpdns.org/smart.php?id=jade_twn&token=mayuanqing1971
翡翠台,https://4gtv.yq123456.dpdns.org/smart.php?id=Jade_xue&token=mayuanqing1971
明珠台,https://4gtv.yq123456.dpdns.org/smart.php?id=pearl_twn&token=mayuanqing1971
无线新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=inews_twn&token=mayuanqing1971
TVBPLUS,https://4gtv.yq123456.dpdns.org/smart.php?id=j2_twn&token=mayuanqing1971
ViuTV,https://4gtv.yq123456.dpdns.org/smart.php?id=viu1_twn&token=mayuanqing1971
ViuTV 6,https://4gtv.yq123456.dpdns.org/smart.php?id=viusix_twn&token=mayuanqing1971
RTHK 31,https://4gtv.yq123456.dpdns.org/smart.php?id=rhk31_twn&token=mayuanqing1971
RTHK 32,https://4gtv.yq123456.dpdns.org/smart.php?id=rhk32_twn&token=mayuanqing1971
HOY TV,https://4gtv.yq123456.dpdns.org/smart.php?id=hoycaijing_twn&token=mayuanqing1971
凤凰中文,https://4gtv.yq123456.dpdns.org/smart.php?id=phoenixtv_hd&token=mayuanqing1971
凤凰资讯,https://4gtv.yq123456.dpdns.org/smart.php?id=phoenixinfo_hd&token=mayuanqing1971
凤凰香港,https://4gtv.yq123456.dpdns.org/smart.php?id=hkphoenix_twn&token=mayuanqing1971
GPT-台湾,#genre#
台视 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=ttv_taiwan&token=mayuanqing1971
台视新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=ttvnews_twn&token=mayuanqing1971
台视综合,https://4gtv.yq123456.dpdns.org/smart.php?id=ttvzhonghe&token=mayuanqing1971
中视 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=zhongshihd_twn&token=mayuanqing1971
中视新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=zhongshinews_twn&token=mayuanqing1971
中视经典,https://4gtv.yq123456.dpdns.org/smart.php?id=zhongshi_twn&token=mayuanqing1971
华视 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=ctshd_twn&token=mayuanqing1971
公视 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=ctv_taiwan&token=mayuanqing1971
公视台语台,https://4gtv.yq123456.dpdns.org/smart.php?id=ctv2_twn&token=mayuanqing1971
三立台湾台,https://4gtv.yq123456.dpdns.org/smart.php?id=sanlitaiwan&token=mayuanqing1971
三立都会台,https://4gtv.yq123456.dpdns.org/smart.php?id=sanlidouhui&token=mayuanqing1971
三立综合台,https://4gtv.yq123456.dpdns.org/smart.php?id=sanlizhonghe&token=mayuanqing1971
三立戏剧台,https://4gtv.yq123456.dpdns.org/smart.php?id=sanlixiju_twn&token=mayuanqing1971
东森新闻台,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvnews&token=mayuanqing1971
东森财经新闻台,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvcaijing_twn&token=mayuanqing1971
东森综合台,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvzhonghe&token=mayuanqing1971
东森戏剧台,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvdrama&token=mayuanqing1971
东森电影台,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvmovie&token=mayuanqing1971
东森洋片台,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvwestern&token=mayuanqing1971
东森幼幼台,https://4gtv.yq123456.dpdns.org/smart.php?id=yoyo_twn&token=mayuanqing1971
东森超视,https://4gtv.yq123456.dpdns.org/smart.php?id=ettvsuper&token=mayuanqing1971
TVBS HD,https://4gtv.yq123456.dpdns.org/smart.php?id=tvbs&token=mayuanqing1971
TVBS 新闻台,https://4gtv.yq123456.dpdns.org/smart.php?id=tvbs_n&token=mayuanqing1971
TVBS 欢乐台,https://4gtv.yq123456.dpdns.org/smart.php?id=tvbshuanle_twn&token=mayuanqing1971
民视 HD,https://4gtv.yq123456.dpdns.org/smart.php?id=ftvhd_taiwan&token=mayuanqing1971
民视新闻台,https://4gtv.yq123456.dpdns.org/smart.php?id=ftvnew_taiwan&token=mayuanqing1971
民视台湾台,https://4gtv.yq123456.dpdns.org/smart.php?id=ftvtaiwan_twn&token=mayuanqing1971
中天综合,https://4gtv.yq123456.dpdns.org/smart.php?id=ctizhonghe&token=mayuanqing1971
中天娱乐,https://4gtv.yq123456.dpdns.org/smart.php?id=ctient&token=mayuanqing1971
中天亚洲,https://4gtv.yq123456.dpdns.org/smart.php?id=ctiasia_twn&token=mayuanqing1971
中天新闻,https://4gtv.yq123456.dpdns.org/smart.php?id=ctinews&token=mayuanqing1971
寰宇新闻台,https://4gtv.yq123456.dpdns.org/smart.php?id=huanyuxinwen_twn&token=mayuanqing1971
寰宇财经台,https://4gtv.yq123456.dpdns.org/smart.php?id=huanyutaiwan_twn&token=mayuanqing1971
八大第一台,https://4gtv.yq123456.dpdns.org/smart.php?id=badafirst&token=mayuanqing1971
八大综合台,https://4gtv.yq123456.dpdns.org/smart.php?id=badazhonghe&token=mayuanqing1971
八大戏剧台,https://4gtv.yq123456.dpdns.org/smart.php?id=badadrama&token=mayuanqing1971
八大娱乐台,https://4gtv.yq123456.dpdns.org/smart.php?id=badaentertain&token=mayuanqing1971
纬来体育,https://4gtv.yq123456.dpdns.org/smart.php?id=videolandsport&token=mayuanqing1971
纬来精彩,https://4gtv.yq123456.dpdns.org/smart.php?id=videolandspecial_twn&token=mayuanqing1971
纬来日本,https://4gtv.yq123456.dpdns.org/smart.php?id=videolandjapan&token=mayuanqing1971
纬来电影,https://4gtv.yq123456.dpdns.org/smart.php?id=videolandmovie&token=mayuanqing1971
纬来综合,https://4gtv.yq123456.dpdns.org/smart.php?id=videolandzonghe&token=mayuanqing1971
纬来育乐,https://4gtv.yq123456.dpdns.org/smart.php?id=videolandyule&token=mayuanqing1971
爱尔达综合台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltazonghe_twn&token=mayuanqing1971
爱尔达影剧台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltayingju_twn&token=mayuanqing1971
爱尔达体育1台,https://4gtv.yq123456.dpdns.org/smart.php?id=eltasport_twn&token=mayuanqing1971
